areaCode,areaName,areaType,date,hospitalCases
K02000001,United Kingdom,overview,1/15/2021,38132
K02000001,United Kingdom,overview,1/14/2021,37691
K02000001,United Kingdom,overview,1/13/2021,37487
K02000001,United Kingdom,overview,1/12/2021,36981
K02000001,United Kingdom,overview,1/11/2021,36751
K02000001,United Kingdom,overview,1/10/2021,35391
K02000001,United Kingdom,overview,1/9/2021,34032
K02000001,United Kingdom,overview,1/8/2021,33778
K02000001,United Kingdom,overview,1/7/2021,32583
K02000001,United Kingdom,overview,1/6/2021,31946
K02000001,United Kingdom,overview,1/5/2021,30686
K02000001,United Kingdom,overview,1/4/2021,30775
K02000001,United Kingdom,overview,1/3/2021,29033
K02000001,United Kingdom,overview,1/2/2021,27561
K02000001,United Kingdom,overview,1/1/2021,26389
K02000001,United Kingdom,overview,12/31/2020,26578
K02000001,United Kingdom,overview,12/30/2020,26551
K02000001,United Kingdom,overview,12/29/2020,25549
K02000001,United Kingdom,overview,12/28/2020,24049
K02000001,United Kingdom,overview,12/27/2020,22764
K02000001,United Kingdom,overview,12/26/2020,21730
K02000001,United Kingdom,overview,12/25/2020,20918
K02000001,United Kingdom,overview,12/24/2020,21577
K02000001,United Kingdom,overview,12/23/2020,21222
K02000001,United Kingdom,overview,12/22/2020,21488
K02000001,United Kingdom,overview,12/21/2020,21133
K02000001,United Kingdom,overview,12/20/2020,20004
K02000001,United Kingdom,overview,12/19/2020,19463
K02000001,United Kingdom,overview,12/18/2020,19117
K02000001,United Kingdom,overview,12/17/2020,18970
K02000001,United Kingdom,overview,12/16/2020,18671
K02000001,United Kingdom,overview,12/15/2020,18216
K02000001,United Kingdom,overview,12/14/2020,18246
K02000001,United Kingdom,overview,12/13/2020,17538
K02000001,United Kingdom,overview,12/12/2020,16909
K02000001,United Kingdom,overview,12/11/2020,16885
K02000001,United Kingdom,overview,12/10/2020,16723
K02000001,United Kingdom,overview,12/9/2020,16331
K02000001,United Kingdom,overview,12/8/2020,16477
K02000001,United Kingdom,overview,12/7/2020,16415
K02000001,United Kingdom,overview,12/6/2020,15960
K02000001,United Kingdom,overview,12/5/2020,15688
K02000001,United Kingdom,overview,12/4/2020,15727
K02000001,United Kingdom,overview,12/3/2020,15658
K02000001,United Kingdom,overview,12/2/2020,15977
K02000001,United Kingdom,overview,12/1/2020,16312
K02000001,United Kingdom,overview,11/30/2020,16565
K02000001,United Kingdom,overview,11/29/2020,16313
K02000001,United Kingdom,overview,11/28/2020,15985
K02000001,United Kingdom,overview,11/27/2020,16571
K02000001,United Kingdom,overview,11/26/2020,16762
K02000001,United Kingdom,overview,11/25/2020,17132
K02000001,United Kingdom,overview,11/24/2020,17424
K02000001,United Kingdom,overview,11/23/2020,17680
K02000001,United Kingdom,overview,11/22/2020,17264
K02000001,United Kingdom,overview,11/21/2020,17063
K02000001,United Kingdom,overview,11/20/2020,17184
K02000001,United Kingdom,overview,11/19/2020,17459
K02000001,United Kingdom,overview,11/18/2020,17486
K02000001,United Kingdom,overview,11/17/2020,17439
K02000001,United Kingdom,overview,11/16/2020,17313
K02000001,United Kingdom,overview,11/15/2020,16864
K02000001,United Kingdom,overview,11/14/2020,16299
K02000001,United Kingdom,overview,11/13/2020,16236
K02000001,United Kingdom,overview,11/12/2020,15879
K02000001,United Kingdom,overview,11/11/2020,15666
K02000001,United Kingdom,overview,11/10/2020,14964
K02000001,United Kingdom,overview,11/9/2020,15141
K02000001,United Kingdom,overview,11/8/2020,14546
K02000001,United Kingdom,overview,11/7/2020,14314
K02000001,United Kingdom,overview,11/6/2020,13958
K02000001,United Kingdom,overview,11/5/2020,13796
K02000001,United Kingdom,overview,11/4/2020,13817
K02000001,United Kingdom,overview,11/3/2020,13749
K02000001,United Kingdom,overview,11/2/2020,13105
K02000001,United Kingdom,overview,11/1/2020,12230
K02000001,United Kingdom,overview,10/31/2020,12310
K02000001,United Kingdom,overview,10/30/2020,11788
K02000001,United Kingdom,overview,10/29/2020,11583
K02000001,United Kingdom,overview,10/28/2020,11434
K02000001,United Kingdom,overview,10/27/2020,10938
K02000001,United Kingdom,overview,10/26/2020,10108
K02000001,United Kingdom,overview,10/25/2020,9786
K02000001,United Kingdom,overview,10/24/2020,9262
K02000001,United Kingdom,overview,10/23/2020,8886
K02000001,United Kingdom,overview,10/22/2020,8311
K02000001,United Kingdom,overview,10/21/2020,8132
K02000001,United Kingdom,overview,10/20/2020,7852
K02000001,United Kingdom,overview,10/19/2020,7334
K02000001,United Kingdom,overview,10/18/2020,6829
K02000001,United Kingdom,overview,10/17/2020,6545
K02000001,United Kingdom,overview,10/16/2020,6296
K02000001,United Kingdom,overview,10/15/2020,5933
K02000001,United Kingdom,overview,10/14/2020,5598
K02000001,United Kingdom,overview,10/13/2020,5293
K02000001,United Kingdom,overview,10/12/2020,4959
K02000001,United Kingdom,overview,10/11/2020,4670
K02000001,United Kingdom,overview,10/10/2020,4358
K02000001,United Kingdom,overview,10/9/2020,4170
K02000001,United Kingdom,overview,10/8/2020,4085
K02000001,United Kingdom,overview,10/7/2020,3893
K02000001,United Kingdom,overview,10/6/2020,3642
K02000001,United Kingdom,overview,10/5/2020,3370
K02000001,United Kingdom,overview,10/4/2020,3056
K02000001,United Kingdom,overview,10/3/2020,2867
K02000001,United Kingdom,overview,10/2/2020,2723
K02000001,United Kingdom,overview,10/1/2020,2592
K02000001,United Kingdom,overview,9/30/2020,2530
K02000001,United Kingdom,overview,9/29/2020,2420
K02000001,United Kingdom,overview,9/28/2020,2399
K02000001,United Kingdom,overview,9/27/2020,2188
K02000001,United Kingdom,overview,9/26/2020,2033
K02000001,United Kingdom,overview,9/25/2020,2020
K02000001,United Kingdom,overview,9/24/2020,1846
K02000001,United Kingdom,overview,9/23/2020,1730
K02000001,United Kingdom,overview,9/22/2020,1636
K02000001,United Kingdom,overview,9/21/2020,1558
K02000001,United Kingdom,overview,9/20/2020,1398
K02000001,United Kingdom,overview,9/19/2020,1300
K02000001,United Kingdom,overview,9/18/2020,1221
K02000001,United Kingdom,overview,9/17/2020,1162
K02000001,United Kingdom,overview,9/16/2020,1106
K02000001,United Kingdom,overview,9/15/2020,1066
K02000001,United Kingdom,overview,9/14/2020,982
K02000001,United Kingdom,overview,9/13/2020,843
K02000001,United Kingdom,overview,9/12/2020,812
K02000001,United Kingdom,overview,9/11/2020,770
K02000001,United Kingdom,overview,9/10/2020,944
K02000001,United Kingdom,overview,9/9/2020,924
K02000001,United Kingdom,overview,9/8/2020,894
K02000001,United Kingdom,overview,9/7/2020,902
K02000001,United Kingdom,overview,9/6/2020,817
K02000001,United Kingdom,overview,9/5/2020,812
K02000001,United Kingdom,overview,9/4/2020,818
K02000001,United Kingdom,overview,9/3/2020,817
K02000001,United Kingdom,overview,9/2/2020,803
K02000001,United Kingdom,overview,9/1/2020,861
K02000001,United Kingdom,overview,8/31/2020,854
K02000001,United Kingdom,overview,8/30/2020,831
K02000001,United Kingdom,overview,8/29/2020,833
K02000001,United Kingdom,overview,8/28/2020,818
K02000001,United Kingdom,overview,8/27/2020,840
K02000001,United Kingdom,overview,8/26/2020,829
K02000001,United Kingdom,overview,8/25/2020,844
K02000001,United Kingdom,overview,8/24/2020,876
K02000001,United Kingdom,overview,8/23/2020,870
K02000001,United Kingdom,overview,8/22/2020,943
K02000001,United Kingdom,overview,8/21/2020,888
K02000001,United Kingdom,overview,8/20/2020,909
K02000001,United Kingdom,overview,8/19/2020,924
K02000001,United Kingdom,overview,8/18/2020,953
K02000001,United Kingdom,overview,8/17/2020,982
K02000001,United Kingdom,overview,8/16/2020,979
K02000001,United Kingdom,overview,8/15/2020,974
K02000001,United Kingdom,overview,8/14/2020,995
K02000001,United Kingdom,overview,8/13/2020,1008
K02000001,United Kingdom,overview,8/12/2020,1004
K02000001,United Kingdom,overview,8/11/2020,1039
K02000001,United Kingdom,overview,8/10/2020,1087
K02000001,United Kingdom,overview,8/9/2020,983
K02000001,United Kingdom,overview,8/8/2020,1027
K02000001,United Kingdom,overview,8/7/2020,1094
K02000001,United Kingdom,overview,8/6/2020,1155
K02000001,United Kingdom,overview,8/5/2020,1200
K02000001,United Kingdom,overview,8/4/2020,1216
K02000001,United Kingdom,overview,8/3/2020,1251
K02000001,United Kingdom,overview,8/2/2020,1254
K02000001,United Kingdom,overview,8/1/2020,1290
K02000001,United Kingdom,overview,7/31/2020,1266
K02000001,United Kingdom,overview,7/30/2020,1314
K02000001,United Kingdom,overview,7/29/2020,1350
K02000001,United Kingdom,overview,7/28/2020,1369
K02000001,United Kingdom,overview,7/27/2020,1370
K02000001,United Kingdom,overview,7/26/2020,1383
K02000001,United Kingdom,overview,7/25/2020,1401
K02000001,United Kingdom,overview,7/24/2020,1453
K02000001,United Kingdom,overview,7/23/2020,1538
K02000001,United Kingdom,overview,7/22/2020,1747
K02000001,United Kingdom,overview,7/21/2020,1634
K02000001,United Kingdom,overview,7/20/2020,1734
K02000001,United Kingdom,overview,7/19/2020,1742
K02000001,United Kingdom,overview,7/18/2020,1776
K02000001,United Kingdom,overview,7/17/2020,1804
K02000001,United Kingdom,overview,7/16/2020,1829
K02000001,United Kingdom,overview,7/15/2020,1974
K02000001,United Kingdom,overview,7/14/2020,1993
K02000001,United Kingdom,overview,7/13/2020,2112
K02000001,United Kingdom,overview,7/12/2020,2100
K02000001,United Kingdom,overview,7/11/2020,2118
K02000001,United Kingdom,overview,7/10/2020,2243
K02000001,United Kingdom,overview,7/9/2020,2344
K02000001,United Kingdom,overview,7/8/2020,2454
K02000001,United Kingdom,overview,7/7/2020,2598
K02000001,United Kingdom,overview,7/6/2020,2699
K02000001,United Kingdom,overview,7/5/2020,2741
K02000001,United Kingdom,overview,7/4/2020,2802
K02000001,United Kingdom,overview,7/3/2020,2942
K02000001,United Kingdom,overview,7/2/2020,3079
K02000001,United Kingdom,overview,7/1/2020,3198
K02000001,United Kingdom,overview,6/30/2020,3383
K02000001,United Kingdom,overview,6/29/2020,3748
K02000001,United Kingdom,overview,6/28/2020,3557
K02000001,United Kingdom,overview,6/27/2020,3544
K02000001,United Kingdom,overview,6/26/2020,3620
K02000001,United Kingdom,overview,6/25/2020,3850
K02000001,United Kingdom,overview,6/24/2020,4030
K02000001,United Kingdom,overview,6/23/2020,4134
K02000001,United Kingdom,overview,6/22/2020,4281
K02000001,United Kingdom,overview,6/21/2020,4222
K02000001,United Kingdom,overview,6/20/2020,4252
K02000001,United Kingdom,overview,6/19/2020,4414
K02000001,United Kingdom,overview,6/18/2020,4560
K02000001,United Kingdom,overview,6/17/2020,4719
K02000001,United Kingdom,overview,6/16/2020,4863
K02000001,United Kingdom,overview,6/15/2020,4870
K02000001,United Kingdom,overview,6/14/2020,4908
K02000001,United Kingdom,overview,6/13/2020,4941
K02000001,United Kingdom,overview,6/12/2020,5090
K02000001,United Kingdom,overview,6/11/2020,5179
K02000001,United Kingdom,overview,6/10/2020,5475
K02000001,United Kingdom,overview,6/9/2020,5736
K02000001,United Kingdom,overview,6/8/2020,5931
K02000001,United Kingdom,overview,6/7/2020,5944
K02000001,United Kingdom,overview,6/6/2020,6149
K02000001,United Kingdom,overview,6/5/2020,6379
K02000001,United Kingdom,overview,6/4/2020,6580
K02000001,United Kingdom,overview,6/3/2020,6815
K02000001,United Kingdom,overview,6/2/2020,7087
K02000001,United Kingdom,overview,6/1/2020,7248
K02000001,United Kingdom,overview,5/31/2020,7238
K02000001,United Kingdom,overview,5/30/2020,7268
K02000001,United Kingdom,overview,5/29/2020,7586
K02000001,United Kingdom,overview,5/28/2020,7907
K02000001,United Kingdom,overview,5/27/2020,8220
K02000001,United Kingdom,overview,5/26/2020,8732
K02000001,United Kingdom,overview,5/25/2020,8836
K02000001,United Kingdom,overview,5/24/2020,8814
K02000001,United Kingdom,overview,5/23/2020,8814
K02000001,United Kingdom,overview,5/22/2020,9184
K02000001,United Kingdom,overview,5/21/2020,9293
K02000001,United Kingdom,overview,5/20/2020,9563
K02000001,United Kingdom,overview,5/19/2020,10013
K02000001,United Kingdom,overview,5/18/2020,10231
K02000001,United Kingdom,overview,5/17/2020,10199
K02000001,United Kingdom,overview,5/16/2020,10238
K02000001,United Kingdom,overview,5/15/2020,10691
K02000001,United Kingdom,overview,5/14/2020,10921
K02000001,United Kingdom,overview,5/13/2020,11342
K02000001,United Kingdom,overview,5/12/2020,11591
K02000001,United Kingdom,overview,5/11/2020,11967
K02000001,United Kingdom,overview,5/10/2020,11727
K02000001,United Kingdom,overview,5/9/2020,12015
K02000001,United Kingdom,overview,5/8/2020,12053
K02000001,United Kingdom,overview,5/7/2020,12626
K02000001,United Kingdom,overview,5/6/2020,13148
K02000001,United Kingdom,overview,5/5/2020,13723
K02000001,United Kingdom,overview,5/4/2020,14097
K02000001,United Kingdom,overview,5/3/2020,14188
K02000001,United Kingdom,overview,5/2/2020,14380
K02000001,United Kingdom,overview,5/1/2020,14723
K02000001,United Kingdom,overview,4/30/2020,15164
K02000001,United Kingdom,overview,4/29/2020,15521
